,location,place,count
0,안덕면,맛집,5
1,애월읍,맛집,193
2,대정읍,맛집,138
3,애월읍,카페,27
4,성산읍,카페,204
5,성산읍,맛집,58
6,연동,술집,17
7,한림읍,카페,30
8,조천읍,맛집,27
9,색달동,맛집,11
10,색달동,숙박,3
11,연동,맛집,33
12,한림읍,맛집,45
13,서귀동,카페,8
14,남원읍,숙박,2
15,남원읍,카페,15
16,구좌읍,카페,44
17,월평동,맛집,3
18,남원읍,술집,1
19,표선면,숙박,5
20,용담1동,맛집,16
21,용담1동,숙박,1
22,한림읍,술집,49
23,애월읍,술집,1
24,조천읍,카페,9
25,하효동,맛집,11
26,하효동,카페,4
27,안덕면,카페,31
28,구좌읍,맛집,31
29,애월읍,숙박,18
30,표선면,카페,4
31,남원읍,맛집,2
32,일도1동,카페,3
33,우도면,카페,6
34,한경면,숙박,1
35,연동,카페,3
36,안덕면,숙박,2
37,대포동,맛집,1
38,구좌읍,숙박,31
39,서귀동,맛집,9
40,노형동,맛집,3
41,우도면,맛집,2
42,법환동,카페,1
43,한림읍,숙박,1
44,구좌읍,술집,39
45,성산읍,숙박,3
46,조천읍,숙박,2
47,신효동,카페,2
48,대정읍,술집,1
49,호근동,맛집,1
50,한경면,카페,2
51,한경면,맛집,16
52,표선면,맛집,12
53,상예동,카페,1
54,연동,숙박,5
55,한경면,술집,4
56,일도2동,카페,4
57,노형동,카페,17
58,용담2동,숙박,1
59,표선면,술집,1
60,대정읍,숙박,1
61,일도1동,맛집,1
62,이도2동,맛집,3
63,삼도1동,맛집,8
64,서호동,맛집,1
